sentence_id,word,cyrillic,cyrillic_saidova,gloss,my_gloss,id,error
6,b=ac'-ã-wuq'aLi,б=ацI-аᵸ-вукъалIи,б=ацI-аᵸ-вукъалIи,HPL=reach.PST-CONV-WHEN,,,
6,k.aXt̄aLi-s̄u,квахтталIи-ссу,квахтталIи-ссу,Kwahidatli-ATTR,квахтталIи<NOUN>><attr>,,"abs, part"
6,adami,адами,адами,man,адами<NOUN>,66881,
6,musa-L'u,муса-кьу,муса-кьу,Musa-CIT,муса<NOUN>><cit>,,"abs, part"
6,hiL'i-bu,гьикьи-бу,гьикьи-бу,name.PST-PART,,,
6,ho=w=la,гьо=в=ла,гьо=в=ла,he=M=AND,гьо<PRON>><m>><and>,,
6,wu=k'-a-da,ву=кI-а-да,ву=кI-а-да,M=be.PST-CONV-COP,,,
6,ʕalik'ya-c̄imu-s̄u,гIаликI'а-цциму-ссу,гIаликI'а-цциму-ссу,Alikja-LIKE-ATTR,гIаликI'а<NOUN>><like>><cit>,,"abs, part"
6,L'ant'i,кьантIи,кьантIи,brave,кьантIи<ADJ>,70731,
6,adami,адами,адами,man,адами<NOUN>,66881,
7,ho=b=e,гьо=б=е,гьо=б=е,he-HPL-PL,гьо<PRON>><h><pl>,,
7,k'e-da-la,кIе-да-ла,кIе-да-ла,two-CARD-COLL,кIе<NUM>><card>><coll>,,
7,b=ešt-a-da,б=ешт-а-да,б=ешт-а-да,HPL=send.PST-CONV-COP,,,
7,ĩh-u-Li,иᵸгь-у-лIи,иᵸгь-у-лIи,group-OBL-GEN,иᵸгь<NOUN>><obl>><gen>,69742,abs
7,wani-di,вани-ди,вани-ди,leader-ERG,вани<NOUN>><erg>,68247,morph
7,c'eX-ĩ=reX-i,цIех-иᵸ=рех-и,цIех-иᵸ=рех-и,look.for-INF=look.for-INF,,,
7,ĩh-i,иᵸгь-и,иᵸгь-и,do-INF,,,
7,is̄ibala-s̄u,иссибала-ссу,иссибала-ссу,near-ATTR,,,
7,han-Li,гьан-лIи,гьан-лIи,village-INTER,гьани<NOUN>><inter>,68773,morph
8,ho=b,гьо=б,гьо=б,that=N,гьо<PRON>><n>,,
8,zaman,заман,заман,time,замана<NOUN>,69643,apoc
8,bu=k'-a-da,бу=кI-а-да,бу=кI-а-да,N=be.PST-CONV-COP,,,
8,reładi-s̄u,релъади-ссу,релъади-ссу,at.night-ATTR,релъа<NOUN>><erg>><attr>,72154,part
8,zamana,замана,замана,time,замана<NOUN>,69643,
9,ha=b=e,гьа=б=е,гьа=б=е,this=HPL=PL,гьа<PRON>><h><pl>,,
9,k'e-da-la,кIе-да-ла,кIе-да-ла,two-CARD-COLL,кIе<NUM>><card>><coll>,,
9,han-Li,гьан-лIи,гьан-лIи,village-INTER,гьани<NOUN>><inter>,68773,morph
9,b=ac'-ã-wq'aLi,б=ацI-аᵸ-вкъалIи,б=ацI-аᵸ-вкъалIи,HPL=reach.PST-CONV-WHEN,,,
9,han-Li,гьан-лIи,гьан-лIи,village-INTER,гьани<NOUN>><inter>,68773,morph
9,ceHe=b,цехIе=б,цехIе=б,no.one=HPL,,,
9,č'iHi,чIихIи,чIихIи,nobody/nothing,,,
9,adami-k-e:-Li,адами-к-е̄-лIи,адами-к-е̄-лIи,man-PL-OBLPL-INTER,адами<NOUN>><pl>><obl>><inter>,66881,
9,ba=k'-uč'-a-da,ба=кI-учI-а-да,ба=кI-учI-а-да,HPL=be.PST-NEG-CONV-COP,,,
9,b=is-inč'-a-da,б=ис-инчI-а-да,б=ис-инчI-а-да,HPL=find.PST-NEG-CONV-COP,,,
10,t'orda,тIорда,тIорда,UQI,тIорда<PRON>,,
10,adami-ke,адами-ке,адами-ке,man-PL,адами<NOUN>><pl>,66881,
10,b=aq'aš̄-u,б=акъащ-у,б=акъащ-у,HPL=hide.PST-CONV,,,
10,ba=k'.-a-da,ба=кIв-а-да,ба=кIв-а-да,HPL=be.PST-CONV-COP,,,
10,iš-ald-a-qi,иш-алд-а-хъи,иш-алд-а-хъи,house-PL-OBLPL-AD,иш<NOUN>><pl>><obl>><ad>,70093,abs
11,suramu,сураму,сураму,hard,сураму<ADJ>,72433,
11,zamana,замана,замана,time,замана<NOUN>,69643,
11,bu=k'-ir-a-di,б=укIир-а-ди,б=укIир-а-ди,N=be-MASD-OBL-ERG,<n>>вукIир<NOUN>><obl>><erg>,68089,morph
11,Rebdi-d-a-di,гъебди-д-а-ди,гъибди-д-а-ди,Godoberian-PL-OBLPL-ERG,гъибдиди<NOUN>><pl>><obl>><erg>,68568,orph
11,b=aq'aš̄-ida,б=акъащ-ида,б=акъащ-ида,HPL=abduct-HAB,,,
11,ba=k'.-a-da,ба=кIв-а-да,ба=кIв-а-да,HPL=be.PST-COP,,,
11,gurži-di,гуржи-ди,гуржи-ди,Georgian-PL,гуржи<NOUN>><pl>,68406,morph
12,ce=b,це=б,це=б,one=N,це<NUM>><n>,,
12,hanq'u-č'u,гьанкъу-чIу,гьанкъу-чIу,house-CONT,гьанкъу<NOUN>><cont>,68784,
12,hinu-ru(-Xu),гьину-ру(-ху),гьину-ру(-ху),inside-EL(-TRANS),,,
12,ha-rdu-ra,гьа-рду-ра,гьа-рду-ра,this-OBL.HPL-AFF,гьа<PRON>><obl><h><pl>><aff>,,
12,anł-a-da,анлъ-а-да,анлъ-а-да,hear.PST-CONV-COP,,,
12,adami-k-e:-Li,адами-к-е̄-лIи,адами-к-е̄-лIи,man-PL-OBLPL-GEN,адами<NOUN>><pl>><obl>><gen>,66881,
12,Xabar,хабар,ххабар,talk,ххабар<NOUN>,73062,orph
13,hanq'u-Li,гьанкъу-лIи,гьанкъу-лIи,house-GEN,гьанкъу<NOUN>><gen>,68784,
13,hinc̄-abe,гьинцц-а-бе,гьинцц-а-бе,door-PL,гьинццу<NOUN>><obl>><pl>,69038,
13,hingur-abe,гьингур-а-бе,гьингур-а-бе,window-PL,гьингур<NOUN>><obl>><pl>,69017,morph
13,r=eš̄a=r,ре=ща=р,ре=ща=р,NPL=tight=NPL,<n><pl>>вощав<ADJ>><n><pl>,67691,
13,ĩh-u,иᵸгь-у,иᵸгь-у,do.PST-CONV,,,
13,hiš̄-u,гьищ-у,гьищ-у,shut.PST-CONV,,,
13,ru=k'-a-da,ру=кI-а-да,ру=кI-а-да,NPL=be.PST-CONV-COP,,,
13,hinu,гьину,гьину,inside,,,
13,b=aʔ-ič'i-bu-c̄imu,б=а-ичIи-бу-цциму,б=а-ичIи-бу-цциму,HPL=enter-NEG-PART-GOAL,,,
13,adami,адами,адами,man/people,адами<NOUN>,66881,
14,hinu,гьину,гьину,inside,,,
14,ma=n-i,ма=н-и,ма=н-и,HPL=go-INF,,,
14,musa,муса,муса,place,муса<NOUN>,71557,
14,b=ac'-inč'-o-wq'aLi,б=ацI-инчI-о-вкъалIи,б=ацI-инчI-о-вкъалIи,N=find.PST-NEG-CONV-WHEN,,,
14,ho=b=e,гьо=б=е,гьо=б=е,he=HPL=PL,гьо<PRON>><h><pl>,,
14,hila,гьила,гьила,upstairs,,,
14,b=aXid-u-da,б=ахид-у-да,б=ахид-у-да,HPL=go.up.PST-CONV-COP,,,
14,lamur-a,ламур-а,ламур-а,roof-IN,ламур<NOUN>><in>,,morph
15,s̄e=b=a,ссе=б=а,ссе=б=а,formerly=N,,,
15,hanq'u-Li,гьанкъу-лIи,гьанкъу-лIи,house-INTER,гьанкъу<NOUN>><inter>,68784,
15,hinu,гьину,гьину,in,,,
15,bu=k'-ida,бу=кI-ида,бу=кI-ида,N=be-HAB,,,
15,bu=k'-a-da,бу=кI-а-да,бу=кI-а-да,N=be.PST-CONV-COP,,,
15,tãwXa,таᵸвха,тавуᵸха,fireplace,тавуᵸха<NOUN>,72578,orph
16,ho-rdu-di,гьо-рду-ди,гьо-рду-ди,he-OBL.HPL-ERG,гьо<PRON>><obl><h><pl>><erg>,,
16,tãwXa-qi,таᵸвха-хъи,тавуᵸха-хъи,fireplace-AD,тавуᵸха<NOUN>><ad>,72578,orph
16,hinu-Xu,гьину-ху,гьину-ху,inside-ALL,,,
16,hant'uk'yarik̄-u-da,гьантIукI'арикк-у-да,гьантIукI'арикк-у-да,listen.PST-CONV-COP,,,
16,e=b=e-waqi,э=б=е-вахъи,э=б=е-вахъи,who=HPL-UPT,э<PRON>><h><pl>><upt>,,part
16,hinu,гьину,гьину,inside,,,
16,ida-L'u,ида-кьу,ида-кьу,be.PRS-CIT,,,
17,musa-di,муса-ди,муса-ди,Musa-ERG,муса<NOUN>><erg>,,abs
17,hiL'-u-da,гьикь-у-да,гьикь-у-да,say.PST-CONV-COP,,,
17,ži=w,жи=в,жи=в,self=M,жи<PRON>><m>,,
17,hinu-wa,гьину-ва,гьину-ва,inside-EPT,,,
17,k'yanc'-ata,кI'анцI-ата,кI'анцI-ата,jump-PRS,,,
17,hinu-s̄u,гьину-ссу,гьину-ссу,inside-ATTR,гьинуссу<ADJ>,69035,
17,adami-ke,адами-ке,адами-ке,man-PL,адами<NOUN>><pl>,66881,
17,qam-i(-L'u),хъам-и(-кьу),хъам-и(-кьу),abduct-INF(-CIT),,,
18,ʕalik'ya-di,гIаликI'а-ди,гIаликI'а-ди,Alikja-ERG,гIаликI'а<NOUN>><erg>,,abs
18,hiL'-u-da,гьикь-у-да,гьикь-у-да,say.PST-CONV-COP,,,
18,ži=w=wa,жи=в=ва,жи=в=ва,self=M=EPT,жи<PRON>><m>><ept>,,part
18,k'yanc'-ata-L'u,кI'анцI-ата-кьу,кI'анцI-ата-кьу,jump-PRS-CIT,,,
19,musa,муса,муса,Musa,муса<NOUN>,,
19,ži=w=wa,жи=в=ва,жи=в=ва,self=M=EPT,жи<PRON>><m>><ept>,,part
19,k'yanc'-i-Li-ba:-L'u-la,кI'анцI-и-лIи-ба̄-кьу-ла,кI'анцI-и-лIи-ба̄-кьу-ла,jump-INF-FUT-PART.EPT-CIT-AND,,,
19,hiL'-u,гьикь-у,гьикь-у,say.PST-CONV,,,
19,hiL'i,гьикьи,гьикьи,down,,,
19,k'yanc'-u-da,кI'анцI-у-да,кI'анцI-у-да,jump.PST-CONV-COP,,,
19,tãwXa-qi,таᵸвха-хъи,тавуᵸха-хъи,fireplace-AD,тавуᵸха<NOUN>><ad>,72578,orph
